SPY,EFA,EEM,TLT
73.429764,24.751564,11.425033,44.344555
74.184875,24.939501,11.560183,44.130024
73.969109,24.881117,11.572601,44.237282
74.488289,24.997898,11.630315,44.196442
74.2995,24.795345,11.69314,43.941055
74.400635,24.789888,11.65954,43.966621
74.906319,25.052635,11.798342,44.119808
74.906319,25.070881,11.814413,44.370064
75.142303,25.134739,11.792497,44.339428
74.521996,25.043514,11.728938,44.54879
74.913048,25.27706,11.780076,44.824581
75.054604,25.29896,11.877243,44.870747
75.904129,25.563541,12.024812,44.429745
75.59404,25.22415,11.89696,44.434925
76.092941,25.576311,11.988287,44.388744
75.904129,25.563541,11.980978,44.763058
75.836723,25.481424,12.017506,44.59383
76.227776,25.673016,12.131471,44.660511
76.477234,25.764252,12.242514,44.855335
76.632301,25.828114,12.238132,44.901497
76.052498,25.457708,12.184072,44.798977
76.281708,25.625572,12.336758,45.306583
76.606018,25.709517,12.419303,45.081009
76.145615,25.548933,12.431727,45.378376
76.477364,25.948534,12.561764,45.511684
75.522781,25.527044,12.371819,45.983383
75.116592,25.457708,12.426613,45.798836
75.4618,25.490553,12.391547,45.855183
74.981163,25.362823,12.31776,46.055195
75.339973,25.610977,12.470446,45.870598
75.719116,25.709517,12.536192,45.4245
75.664932,25.800735,12.601947,45.250183
76.944527,26.202168,12.843024,45.02412
77.073143,26.242311,13.062191,45.091103
77.113823,26.256908,12.965757,45.091103
77.641876,26.35544,13.115518,44.885162
76.809113,26.174803,13.003744,44.689453
76.172714,26.357267,12.908772,45.28157
76.484154,26.421129,12.975984,45.327934
76.186249,26.120064,12.771433,45.430904
75.515991,25.937595,12.598292,45.595638
74.906654,25.800735,12.426613,45.811943
75.326431,26.094524,12.592446,45.652271
75.610794,26.198519,12.726137,45.67289
74.97438,26.147427,12.664773,45.791317
74.825424,26.247786,12.585143,46.105373
75.312889,26.40106,12.766318,46.136261
74.466591,26.238661,12.674997,46.244358
74.378578,26.211292,12.709333,46.280388
75.515991,26.357267,12.755359,46.141369
76.423218,26.630962,12.974526,45.688335
76.653412,26.703951,12.910234,45.837608
76.6399,26.703951,12.960643,46.048714
76.849739,26.749561,13.057076,45.762333
76.876854,26.957577,13.087025,45.829544
77.845001,27.276903,13.277702,45.850201
78.907906,27.658249,13.4786,45.896706
79.402184,27.7878,13.529737,45.395271
79.287064,27.594389,13.377053,45.235004
79.131363,27.525059,13.463263,45.209133
79.192245,27.472137,13.4786,45.038551
79.794846,27.771379,13.632018,44.940338
80.424477,28.099819,13.862137,45.426266
80.622055,28.12719,13.875287,45.467609
80.044884,27.889984,13.716761,45.467609
80.520226,28.245806,14.026507,45.855354
80.62886,28.181938,14.052083,45.994961
79.732552,27.999468,13.85118,45.627892
80.112831,28.081572,13.905238,45.865715
80.234993,28.136309,13.929349,45.922585
80.425171,28.26403,14.077654,45.922585
80.364029,28.428251,14.311425,45.622742
79.99736,28.519487,14.223761,45.136768
80.051682,28.327904,14.250058,44.945518
80.961555,28.820559,14.35891,44.875423
81.029518,28.774946,14.337722,44.693752
80.975174,28.946465,14.402745,45.389301
80.947983,28.769468,14.382289,45.545067
80.194298,28.612551,14.16166,45.60218
80.662842,28.592485,14.087144,46.313309
80.947983,28.473879,13.857752,46.007053
81.029518,28.194693,13.843873,46.121235
81.73571,28.619856,14.054275,46.219887
82.020905,28.628969,14.183584,46.401585
82.082001,28.802315,14.380095,46.821995
82.034477,28.619856,14.307772,46.131653
81.487297,28.537739,14.274895,46.069298
81.507782,28.798666,14.461184,46.152401
82.135452,29.0012,14.599989,46.292526
82.333282,29.044996,14.596343,46.136814
82.394699,29.235651,14.695653,45.986275
82.224182,29.465372,14.684563,45.628109
82.6744,29.661757,14.760717,45.591766
82.797195,29.519102,14.842069,45.545067
82.640312,29.522799,14.804354,45.851299
82.462914,29.689552,14.926368,46.14053
82.074043,29.476484,14.771074,46.239521
81.071136,28.911417,14.316299,45.754906
80.511681,28.892885,14.141042,45.99984
80.921059,28.892885,14.131429,46.03109
80.805069,28.763205,14.158788,46.135288
81.187119,28.892885,14.176534,46.208252
80.627693,28.837296,14.149918,46.479183
80.893776,29.068897,14.323691,46.541729
80.245621,28.818777,14.264532,46.989819
80.66864,28.957731,14.519655,46.984615
81.507782,28.979963,14.493774,47.140942
80.654961,28.679827,14.294114,47.276447
80.16375,28.488993,14.116643,47.370216
79.672539,28.602015,14.3089,47.422352
79.51564,28.652037,14.286722,47.625538
79.740761,28.661308,14.416122,47.177429
79.979568,29.007755,14.62688,47.265995
80.115974,29.050365,14.640929,47.177429
80.115974,28.985527,14.65424,47.651596
80.614059,29.124466,14.847246,47.787086
81.12571,29.306036,14.974436,47.711216
81.371315,29.346802,15.021757,47.821068
81.159828,29.187458,15.006231,47.794933
82.026283,29.33754,15.240646,48.459206
81.917145,29.152267,15.28871,48.820061
82.012634,29.152267,15.318291,49.09726
81.39859,29.078167,15.268747,49.22805
81.692009,29.380152,15.342698,48.563778
82.394699,29.583933,15.492065,48.532413
82.333282,29.813677,15.602982,48.684059
82.640312,30.013771,15.639965,48.438274
82.69487,29.748838,15.591894,48.255192
82.026283,29.809975,15.566018,47.951862
82.135452,29.958191,15.757538,47.522957
80.914223,29.887789,15.699861,47.313728
81.494102,29.902613,15.772328,47.470634
82.033081,29.948933,16.017099,47.366028
82.844986,30.297237,16.312149,47.596165
82.299156,30.22683,16.284792,47.08358
82.708542,30.393583,16.330635,47.068924
82.66761,30.165693,16.06147,47.005959
82.701683,30.180515,16.105839,46.979752
83.731918,30.70854,16.298098,47.488651
83.772797,30.578844,16.405325,47.67754
83.458984,30.662212,16.28035,47.226295
82.531136,30.523268,16.187178,46.45504
82.71537,30.62331,16.031885,46.738384
82.135452,30.615896,15.94167,46.397327
82.64711,30.5177,15.819657,46.6754
81.964874,30.328732,15.425513,46.381557
81.26899,30.363935,15.29463,46.664913
81.432716,30.328732,15.573408,46.817051
81.190941,30.267601,15.50316,46.523247
80.889603,30.061945,15.279096,46.392094
80.067696,29.717346,14.996614,45.998581
80.136192,29.519102,14.806573,46.218922
80.232056,29.513538,14.790303,46.313381
80.348473,29.513538,14.892349,46.030041
79.814262,29.207842,14.507082,46.302856
80.944344,29.446835,14.837629,46.533733
80.793686,29.433878,14.996614,46.869522
80.430664,29.365324,15.085356,47.027531
80.56768,29.374586,15.118632,47.016964
80.951225,29.532068,15.114929,46.895878
81.232025,29.615437,15.321987,47.059101
81.670387,29.735853,15.476542,46.679947
80.821106,29.735853,15.403331,46.843204
80.882736,29.847034,15.255434,47.095997
81.300522,29.921137,15.447699,47.533115
80.341667,29.606178,15.140074,47.41724
79.293686,29.217104,14.752588,47.343475
78.184143,28.859537,14.442009,47.97015
78.423859,28.753944,14.612826,47.933289
79.047157,29.13558,14.857588,48.396736
77.944397,28.763205,14.507082,48.275604
79.458069,29.28381,14.924885,47.770042
79.156731,29.180059,14.75999,48.17028
79.677269,29.333836,15.039511,48.312477
78.903275,28.966991,14.885697,48.238747
79.211517,28.889183,14.751112,48.407249
78.218361,28.500116,14.515957,48.765388
79.280022,28.957731,14.809528,48.681118
79.725227,28.948471,14.90788,48.67054
79.862221,29.011463,14.893829,48.802696
80.478653,29.35606,15.299797,48.374565
80.451202,29.398678,15.380409,48.485558
80.197815,29.27084,15.42182,48.126194
80.697792,29.33754,15.43586,48.173763
79.862221,28.929947,15.089056,48.517258
80.30056,29.059629,15.159303,48.665302
79.417038,28.698349,14.90048,48.855526
79.259468,28.531609,14.747412,49.045776
79.999191,28.646475,14.922672,48.987617
80.533386,28.642761,14.926368,49.125057
81.36219,28.966991,15.223637,49.452732
81.704643,28.987375,15.279096,49.32592
81.588196,28.865091,15.240646,49.384007
82.040245,29.104101,15.290932,49.769844
81.848465,29.028143,15.246563,49.907269
81.786842,28.948471,15.137118,49.55843
82.225235,28.966991,15.307201,49.542572
82.362167,29.087421,15.410728,49.595409
81.834808,28.707611,15.277621,50.208515
82.533409,28.881767,15.458051,50.823311
82.711456,29.128181,15.575626,50.945297
82.293663,28.855835,15.495024,50.526249
82.218391,29.046661,15.651053,50.791458
82.279984,29.194874,15.573408,51.194668
82.129295,29.087421,15.514244,50.950619
82.519714,29.202291,15.595592,50.908195
82.327896,29.091137,15.639965,50.335297
82.588211,28.991085,15.702079,50.032925
