Date,SPY,EFA,EEM,TLT
2004-05-18,73.659782,23.999805,10.754387,41.239521
2004-05-19,73.404533,24.237009,11.051723,41.103275
2004-05-20,73.639664,24.268023,10.983784,41.421238
2004-05-21,73.767273,24.446844,11.164226,41.2547
2004-05-24,74.076279,24.603762,11.338097,41.385899
2004-05-25,75.137688,24.970524,11.587944,41.507011
2004-05-26,75.399712,24.924908,11.542652,41.729095
2004-05-27,75.822914,25.399309,11.725285,42.057156
2004-05-28,75.816208,25.246037,11.699719,41.94109
2004-06-01,75.715439,25.306257,11.618626,41.557041
2004-06-02,75.997551,25.379244,11.618626,41.450615
2004-06-03,75.298882,25.134739,11.360743,41.536747
2004-06-04,75.896797,25.435804,11.52804,41.293552
2004-06-07,77.052231,25.997814,11.926189,41.303688
2004-06-08,77.159706,25.851833,11.760353,41.379662
2004-06-09,76.440926,25.40844,11.494432,41.202358
2004-06-10,76.817139,25.709517,11.507584,41.28344
2004-06-14,76.05806,25.090948,11.064141,40.954071
2004-06-15,76.595436,25.536165,11.278192,41.820507
2004-06-16,76.582008,25.527044,11.126969,41.658356
2004-06-17,76.467804,25.691263,11.182487,41.931969
2004-06-18,76.612099,25.736881,11.118931,41.840767
2004-06-21,76.322182,25.645641,11.170071,41.87114
2004-06-22,76.706482,25.656599,11.288419,41.744484
2004-06-23,77.367218,25.818996,11.489323,41.825573
2004-06-24,77.124481,25.919342,11.535342,42.078876
2004-06-25,76.7537,25.824459,11.652229,42.119415
2004-06-28,76.490753,25.98321,11.552878,41.688751
2004-06-29,76.80761,25.928471,11.641273,41.952213
2004-06-30,77.218872,26.092693,11.807839,42.382912
2004-07-01,76.146851,25.764252,11.660266,42.462273
2004-07-02,76.106453,25.908396,11.65954,42.90992
2004-07-06,75.438957,25.481424,11.534616,42.838707
2004-07-07,75.661423,25.782494,11.685107,42.853977
2004-07-08,75.135567,25.618275,11.518541,42.879421
2004-07-09,75.331062,25.835409,11.579906,42.925171
2004-07-12,75.364799,25.910225,11.549955,42.986217
2004-07-13,75.418701,25.782494,11.602552,42.859081
2004-07-14,75.189468,25.636522,11.49151,42.874325
2004-07-15,74.704048,25.317205,11.431608,42.920113
2004-07-16,74.643341,25.52157,11.557261,43.489864
2004-07-19,74.326454,25.541645,11.539725,43.520355
2004-07-20,75.270363,25.554413,11.588675,43.128693
2004-07-21,73.881493,24.999708,11.454985,43.011646
2004-07-22,74.083725,25.134739,11.454985,43.072712
2004-07-23,73.463448,24.671276,11.257733,43.21513
2004-07-26,73.321869,24.671276,11.153268,43.011646
2004-07-27,74.009583,24.824554,11.365856,42.431759
2004-07-28,74.232063,24.857397,11.362206,42.436779
2004-07-29,74.548981,24.888409,11.433068,42.533466
2004-07-30,74.730972,24.979645,11.378274,43.032032
2004-08-02,74.886047,25.098246,11.321295,43.088215
2004-08-03,74.306236,24.934025,11.334442,43.261845
2004-08-04,74.2995,24.930378,11.345405,43.282238
2004-08-05,73.085899,24.559973,11.272346,43.404819
2004-08-06,72.040871,24.523472,11.190523,44.135132
2004-08-09,72.141991,24.496113,11.284036,43.981907
2004-08-10,73.072418,24.696825,11.411153,43.823631
2004-08-11,72.924088,24.614714,11.305222,44.012562
2004-08-12,72.128494,24.341015,11.178839,44.1045
2004-08-13,72.270073,24.486992,11.19637,44.247505
2004-08-16,73.018463,24.73332,11.349053,44.094311
2004-08-17,73.429764,24.751564,11.425033,44.344555
2004-08-18,74.184875,24.939501,11.560183,44.130024
2004-08-19,73.969109,24.881117,11.572601,44.237282
2004-08-20,74.488289,24.997898,11.630315,44.196442
2004-08-23,74.2995,24.795345,11.69314,43.941055
2004-08-24,74.400635,24.789888,11.65954,43.966621
2004-08-25,74.906319,25.052635,11.798342,44.119808
2004-08-26,74.906319,25.070881,11.814413,44.370064
2004-08-27,75.142303,25.134739,11.792497,44.339428
2004-08-30,74.521996,25.043514,11.728938,44.54879
2004-08-31,74.913048,25.27706,11.780076,44.824581
2004-09-01,75.054604,25.29896,11.877243,44.870747
2004-09-02,75.904129,25.563541,12.024812,44.429745
2004-09-03,75.59404,25.22415,11.89696,44.434925
2004-09-07,76.092941,25.576311,11.988287,44.388744
2004-09-08,75.904129,25.563541,11.980978,44.763058
